count,page_title
6,Advocacy of suicide
17,Altruistic suicide
26,Assessment of suicide risk
27,Assisted suicide
37,Charcoal-burning suicide
42,Chris Benoit double-murder and suicide
43,Christian views on suicide
82,Farmers' suicide in Western Odisha
83,Farmers' suicides in India
84,Female suicide bomber
86,Forced suicide
87,Foxconn suicides
96,Gender differences in suicide
103,Guantanamo Bay detention camp suicide attempts
113,History of suicide
114,Honor suicide
122,Internet suicide pact
130,Jewish views on suicide
158,LGBT Mormon suicides
167,List of LGBT-related suicides
168,List of Palestinian suicide attacks
169,List of countries by suicide rate
170,List of people whose parent committed suicide
171,List of suicide crisis lines
172,List of suicide sites
173,List of suicides
174,List of suicides in Nazi Germany
175,List of suicides in fiction
176,List of suicides in the 21st century
177,List of suicides that have been attributed to bullying
194,Mass suicide
195,Mass suicide in Demmin
196,Mass suicides in 1945 Nazi Germany
197,Matza restaurant suicide bombing
211,Multiple gunshot suicide
225,Political suicide
228,Prisoner suicide
233,Religious views on suicide
245,Seasonal effects on suicide rates
252,Social media and suicide
376,2017 Sehwan suicide bombing
411,Benevolent suicide
646,November 2016 Kabul suicide bombing
765,2010 Austin suicide attack
800,Assisted suicide in the United States
1412,Maxim restaurant suicide bombing
1498,Sbarro restaurant suicide bombing
2053,2010 Lakki Marwat suicide bombing
2805,List of deaths from legal euthanasia and assisted suicide
